Age,DailyRate,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
0.8095238095238095,0.15533285612025768,0.07142857142857142,0.26221577164973386,1.0,0.3333333333333333,0.5,0.5,0.6666666666666667,0.5,0.3665086887835703,0.7032724352539651,0.2222222222222222,1.0,0.6666666666666667,0.0,0.7000000000000001,0.6666666666666666,0.125,0.2222222222222222,0.0,0.23529411764705882,0
0.19047619047619052,0.8926270579813886,0.7857142857142857,0.270440251572327,0.0,0.6666666666666667,0.0,0.75,1.0,0.0,0.09884149552395999,0.037663119855450705,0.1111111111111111,0.0,0.3333333333333333,0.6666666666666666,0.07500000000000001,0.5,0.07500000000000001,0.1111111111111111,0.0,0.11764705882352941,0
0.4761904761904761,0.012168933428775952,0.07142857142857142,0.14804063860667635,0.0,0.6666666666666667,0.5,0.875,0.6666666666666667,0.0,0.5055292259083728,0.3032724352539651,0.0,0.0,0.6666666666666667,0.6666666666666666,0.42500000000000004,1.0,0.4,0.5555555555555556,0.3333333333333333,0.7647058823529411,0
0.857142857142857,0.21116678596993557,0.6428571428571428,0.3372036768263183,0.6666666666666667,0.6666666666666667,0.5,0.125,0.3333333333333333,0.5,0.5116377040547657,0.18610720738807465,0.2222222222222222,0.0,0.6666666666666667,0.3333333333333333,0.4,0.16666666666666666,0.225,0.38888888888888884,0.4666666666666667,0.058823529411764705,0
0.7619047619047619,0.8732999284180386,0.9642857142857143,0.6366715045960328,1.0,0.6666666666666667,0.75,0.625,0.0,0.5,0.8357556608741443,0.816221642240514,0.4444444444444444,1.0,0.3333333333333333,0.0,0.625,0.3333333333333333,0.07500000000000001,0.1111111111111111,0.06666666666666667,0.11764705882352941,0
0.5238095238095237,0.3779527559055118,0.10714285714285714,0.1035316884373488,0.6666666666666667,0.3333333333333333,0.5,0.875,1.0,0.5,0.5184834123222749,0.25930536036940377,0.7777777777777777,0.0,0.0,0.3333333333333333,0.375,0.3333333333333333,0.30000000000000004,0.611111111111111,0.13333333333333333,0.6470588235294118,0
0.6666666666666665,0.9899785254115961,0.6071428571428571,0.26560232220609575,0.6666666666666667,0.6666666666666667,0.25,0.5,0.6666666666666667,0.0,0.2001579778830964,0.9724954828347722,0.2222222222222222,0.0,0.6666666666666667,0.3333333333333333,0.47500000000000003,0.8333333333333333,0.25,0.38888888888888884,0.0,0.47058823529411764,0
0.4523809523809524,0.5046528274874731,0.17857142857142855,0.06386066763425254,0.6666666666666667,0.6666666666666667,0.0,0.125,0.0,0.0,0.05602948920484465,0.8654487050793014,0.4444444444444444,1.0,1.0,0.0,0.17500000000000002,0.5,0.07500000000000001,0.1111111111111111,0.0,0.11764705882352941,1
0.23809523809523808,0.4803149606299212,0.17857142857142855,0.5578132559264635,0.6666666666666667,0.3333333333333333,0.0,0.75,0.6666666666666667,0.0,0.08920484465508163,0.8028106805862276,0.1111111111111111,1.0,1.0,0.3333333333333333,0.07500000000000001,0.3333333333333333,0.07500000000000001,0.05555555555555555,0.0,0.11764705882352941,0
0.3095238095238095,0.7015032211882605,0.0,0.045476536042573776,0.6666666666666667,0.6666666666666667,0.0,0.75,0.3333333333333333,1.0,0.07856766719325961,0.6697851836980526,0.1111111111111111,0.0,0.3333333333333333,0.0,0.025,0.6666666666666666,0.025,0.05555555555555555,0.06666666666666667,0.0,0
